Entity,Code,Year,Low-carbon energy per capita (kWh)
Austria,AUT,2012,16210.107
Austria,AUT,2013,15692.2
Austria,AUT,2014,15513.889
Austria,AUT,2015,14685.776
Austria,AUT,2016,15353.711
Austria,AUT,2017,15102.891
Austria,AUT,2018,14645.614
Austria,AUT,2019,15690.338
Austria,AUT,2020,15530.859
Azerbaijan,AZE,1985,546.919
Azerbaijan,AZE,1986,329.603
Azerbaijan,AZE,1987,324.111
Azerbaijan,AZE,1988,276.693
Azerbaijan,AZE,1989,272.157
Azerbaijan,AZE,1990,635.885
Azerbaijan,AZE,1991,664.173
Azerbaijan,AZE,1992,649.58
Azerbaijan,AZE,1993,888.831
Azerbaijan,AZE,1994,661.574
Azerbaijan,AZE,1995,555.883
Azerbaijan,AZE,1996,543.494
Azerbaijan,AZE,1997,600.02
Azerbaijan,AZE,1998,678.287
Azerbaijan,AZE,1999,519.403
Azerbaijan,AZE,2000,524.591
Azerbaijan,AZE,2001,438.001
Azerbaijan,AZE,2002,669.164
Azerbaijan,AZE,2003,804.787
Azerbaijan,AZE,2004,882.692
Azerbaijan,AZE,2005,948.036
Azerbaijan,AZE,2006,779.883
Azerbaijan,AZE,2007,719.763
Azerbaijan,AZE,2008,667.878
Azerbaijan,AZE,2009,679.206
Azerbaijan,AZE,2010,994.973
Azerbaijan,AZE,2011,758.149
Azerbaijan,AZE,2012,506.273
Azerbaijan,AZE,2013,424.922
Azerbaijan,AZE,2014,372.651
Azerbaijan,AZE,2015,456.806
Azerbaijan,AZE,2016,543.626
Azerbaijan,AZE,2017,480.14
Azerbaijan,AZE,2018,492.368
Azerbaijan,AZE,2019,446.646
Azerbaijan,AZE,2020,318.396
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,7.296
Bangladesh,BGD,1973,13.594
Bangladesh,BGD,1974,9.819
Bangladesh,BGD,1975,17.285
Bangladesh,BGD,1976,19.151
Bangladesh,BGD,1977,16.524
Bangladesh,BGD,1978,18.629
Bangladesh,BGD,1979,21.032
Bangladesh,BGD,1980,20.335
Bangladesh,BGD,1981,21.232
Bangladesh,BGD,1982,17.309
Bangladesh,BGD,1983,21.347
Bangladesh,BGD,1984,28.181
Bangladesh,BGD,1985,22.617
Bangladesh,BGD,1986,13.414
Bangladesh,BGD,1987,15.011
Bangladesh,BGD,1988,19.096
Bangladesh,BGD,1989,25.379
Bangladesh,BGD,1990,23.801
Bangladesh,BGD,1991,22.044
Bangladesh,BGD,1992,20.476
Bangladesh,BGD,1993,15.305
Bangladesh,BGD,1994,20.87
Bangladesh,BGD,1995,8.972
Bangladesh,BGD,1996,17.448
Bangladesh,BGD,1997,16.621
Bangladesh,BGD,1998,19.585
Bangladesh,BGD,1999,18.483
Bangladesh,BGD,2000,16.298
Bangladesh,BGD,2001,21.066
Bangladesh,BGD,2002,15.504
Bangladesh,BGD,2003,15.157
Bangladesh,BGD,2004,14.839
Bangladesh,BGD,2005,14.556
Bangladesh,BGD,2006,14.34
Bangladesh,BGD,2007,14.143
Bangladesh,BGD,2008,17.71
Bangladesh,BGD,2009,8.058
Bangladesh,BGD,2010,13.788
Bangladesh,BGD,2011,16.293
Bangladesh,BGD,2012,14.959
Bangladesh,BGD,2013,14.548
Bangladesh,BGD,2014,12.262
Bangladesh,BGD,2015,17.878
Bangladesh,BGD,2016,17.711
Bangladesh,BGD,2017,20.209
Bangladesh,BGD,2018,17.687
Bangladesh,BGD,2019,17.925
Bangladesh,BGD,2020,16.802
Belarus,BLR,1985,5.611
Belarus,BLR,1986,5.575
Belarus,BLR,1987,5.541
Belarus,BLR,1988,5.511
Belarus,BLR,1989,5.488
Belarus,BLR,1990,5.473
Belarus,BLR,1991,4.921
Belarus,BLR,1992,4.65
Belarus,BLR,1993,5.207
Belarus,BLR,1994,5.221
Belarus,BLR,1995,5.513
Belarus,BLR,1996,4.425
Belarus,BLR,1997,5.828
Belarus,BLR,1998,7.801
Belarus,BLR,1999,5.318
Belarus,BLR,2000,7.598
Belarus,BLR,2001,8.438
Belarus,BLR,2002,8.159
Belarus,BLR,2003,7.881
Belarus,BLR,2004,9.573
Belarus,BLR,2005,10.408
Belarus,BLR,2006,10.671
Belarus,BLR,2007,14.009
Belarus,BLR,2008,20.385
Belarus,BLR,2009,29.48
Belarus,BLR,2010,35.981
Belarus,BLR,2011,38.808
Belarus,BLR,2012,47.318
Belarus,BLR,2013,62.052
Belarus,BLR,2014,56.934
Belarus,BLR,2015,67.805
Belarus,BLR,2016,89.19
Belarus,BLR,2017,184.652
Belarus,BLR,2018,170.905
Belarus,BLR,2019,211.145
Belarus,BLR,2020,216.974
Belgium,BEL,1965,80.004
Belgium,BEL,1966,89.287
Belgium,BEL,1967,96.78
Belgium,BEL,1968,88.57
Belgium,BEL,1969,72.919
Belgium,BEL,1970,87.381
Belgium,BEL,1971,38.519
Belgium,BEL,1972,54.737
Belgium,BEL,1973,103.73
Belgium,BEL,1974,141.354
Belgium,BEL,1975,2004.112
Belgium,BEL,1976,2893.269
Belgium,BEL,1977,3511.595
Belgium,BEL,1978,3669.891
Belgium,BEL,1979,3370.193
Belgium,BEL,1980,3694.794
Belgium,BEL,1981,3804.037
Belgium,BEL,1982,4506.04
Belgium,BEL,1983,6865.675
Belgium,BEL,1984,7884.383
Belgium,BEL,1985,9787.491
Belgium,BEL,1986,11150.805
Belgium,BEL,1987,11886.394
Belgium,BEL,1988,12174.635
Belgium,BEL,1989,11611.919
Belgium,BEL,1990,12013.536
Belgium,BEL,1991,12007.363
Belgium,BEL,1992,12147.639
Belgium,BEL,1993,11648.977
Belgium,BEL,1994,11275.328
Belgium,BEL,1995,11459.841
Belgium,BEL,1996,11944.851
Belgium,BEL,1997,13040.408
Belgium,BEL,1998,12732.319
Belgium,BEL,1999,13507.302
Belgium,BEL,2000,13292.058
Belgium,BEL,2001,12683.176
Belgium,BEL,2002,12829.72
Belgium,BEL,2003,12700.315
Belgium,BEL,2004,12607.337
Belgium,BEL,2005,12675.734
Belgium,BEL,2006,12483.722
Belgium,BEL,2007,12840.551
Belgium,BEL,2008,12241.731
Belgium,BEL,2009,12861.878
Belgium,BEL,2010,13354.178
Belgium,BEL,2011,13691.474
Belgium,BEL,2012,12157.38
Belgium,BEL,2013,12826.004
Belgium,BEL,2014,10854.294
Belgium,BEL,2015,9368.147
Belgium,BEL,2016,13263.472
Belgium,BEL,2017,13195.721
Belgium,BEL,2018,10373.115
Belgium,BEL,2019,13997.225
Belgium,BEL,2020,12955.637
Brazil,BRA,1965,850.091
Brazil,BRA,1966,904.55
Brazil,BRA,1967,920.996
Brazil,BRA,1968,938.864
Brazil,BRA,1969,979.132
Brazil,BRA,1970,1177.419
Brazil,BRA,1971,1249.006
Brazil,BRA,1972,1429.722
Brazil,BRA,1973,1592.92
Brazil,BRA,1974,1763.246
Brazil,BRA,1975,1895.294
Brazil,BRA,1976,2119.619
Brazil,BRA,1977,2337.276
Brazil,BRA,1978,2511.316
Brazil,BRA,1979,2789.035
Brazil,BRA,1980,3008.356
Brazil,BRA,1981,2981.629
Brazil,BRA,1982,3146.959
Brazil,BRA,1983,3314.471
Brazil,BRA,1984,3589.901
Brazil,BRA,1985,3795.243
Brazil,BRA,1986,3736.123
Brazil,BRA,1987,3748.722
Brazil,BRA,1988,3926.843
Brazil,BRA,1989,3985.014
Brazil,BRA,1990,4424.182
Brazil,BRA,1991,4556.972
Brazil,BRA,1992,4592.525
Brazil,BRA,1993,4720.897
Brazil,BRA,1994,4808.074
Brazil,BRA,1995,4985.319
Brazil,BRA,1996,5144.902
Brazil,BRA,1997,5290.361
Brazil,BRA,1998,5409.484
Brazil,BRA,1999,5381.154
Brazil,BRA,2000,5445.787
Brazil,BRA,2001,4877.484
Brazil,BRA,2002,5119.432
Brazil,BRA,2003,5317.206
Brazil,BRA,2004,5469.388
Brazil,BRA,2005,5639.362
Brazil,BRA,2006,5754.147
Brazil,BRA,2007,6194.791
Brazil,BRA,2008,6269.217
Brazil,BRA,2009,6561.765
Brazil,BRA,2010,6835.419
Brazil,BRA,2011,7026.139
Brazil,BRA,2012,6794.834
Brazil,BRA,2013,6587.09
Brazil,BRA,2014,6505.971
Brazil,BRA,2015,6554.603
Brazil,BRA,2016,6809.642
Brazil,BRA,2017,6780.298
Brazil,BRA,2018,7182.762
Brazil,BRA,2019,7471.508
Brazil,BRA,2020,7404.454
Bulgaria,BGR,1965,675.646
Bulgaria,BGR,1966,673.954
Bulgaria,BGR,1967,673.18
Bulgaria,BGR,1968,431.547
Bulgaria,BGR,1969,604.209
Bulgaria,BGR,1970,702.645
Bulgaria,BGR,1971,704.26
Bulgaria,BGR,1972,675.999
Bulgaria,BGR,1973,824.762
Bulgaria,BGR,1974,960.501
Bulgaria,BGR,1975,1591.638
Bulgaria,BGR,1976,2515.106
Bulgaria,BGR,1977,2970.637
Bulgaria,BGR,1978,2774.939
Bulgaria,BGR,1979,2977.894
Bulgaria,BGR,1980,3090.39
Bulgaria,BGR,1981,3973.071
Bulgaria,BGR,1982,4291.065
Bulgaria,BGR,1983,4862.057
Bulgaria,BGR,1984,4953.846
Bulgaria,BGR,1985,4756.239
Bulgaria,BGR,1986,4456.804
Bulgaria,BGR,1987,4641.644
Bulgaria,BGR,1988,5789.521
Bulgaria,BGR,1989,5387.573
Bulgaria,BGR,1990,5197.42
Bulgaria,BGR,1991,4950.703
Bulgaria,BGR,1992,4358.901
Bulgaria,BGR,1993,5154.868
Bulgaria,BGR,1994,5507.495
Bulgaria,BGR,1995,6489.208
Bulgaria,BGR,1996,7035.26
Bulgaria,BGR,1997,6936.16
Bulgaria,BGR,1998,6825.602
Bulgaria,BGR,1999,6393.332
Bulgaria,BGR,2000,7241.791
Bulgaria,BGR,2001,7408.541
Bulgaria,BGR,2002,7813.55
Bulgaria,BGR,2003,7089.554
Bulgaria,BGR,2004,6985.08
Bulgaria,BGR,2005,8046.569
Bulgaria,BGR,2006,8319.39
Bulgaria,BGR,2007,6157.637
Bulgaria,BGR,2008,6570.191
Bulgaria,BGR,2009,6660.527
Bulgaria,BGR,2010,7387.345
Bulgaria,BGR,2011,7111.676
Bulgaria,BGR,2012,7414.697
Bulgaria,BGR,2013,7409.487
Bulgaria,BGR,2014,8168.084
Bulgaria,BGR,2015,8483.901
Bulgaria,BGR,2016,8046.016
Bulgaria,BGR,2017,7629.981
Bulgaria,BGR,2018,8996.388
Bulgaria,BGR,2019,8529.263
Bulgaria,BGR,2020,8707.5
Canada,CAN,1965,16730.105
Canada,CAN,1966,18240.514
Canada,CAN,1967,18324.248
Canada,CAN,1968,18422.427
Canada,CAN,1969,19971.63
Canada,CAN,1970,20686.049
Canada,CAN,1971,21319.514
Canada,CAN,1972,23766.724
Canada,CAN,1973,26012.497
Canada,CAN,1974,27521.837
Canada,CAN,1975,25904.286
Canada,CAN,1976,27452.634
Canada,CAN,1977,29095.825
Canada,CAN,1978,31098.21
Canada,CAN,1979,32276.038
Canada,CAN,1980,33046.376
Canada,CAN,1981,34680.363
Canada,CAN,1982,33252.261
Canada,CAN,1983,34943.406
Canada,CAN,1984,37190.432
Canada,CAN,1985,39473.366
Canada,CAN,1986,40882.166
Canada,CAN,1987,41591.729
Canada,CAN,1988,40702.589
Canada,CAN,1989,38146.084
Canada,CAN,1990,37529.42
Canada,CAN,1991,39402.616
Canada,CAN,1992,39339.778
Canada,CAN,1993,40903.529
Canada,CAN,1994,42419.63
Canada,CAN,1995,41758.362
Canada,CAN,1996,42840.063
Canada,CAN,1997,40988.268
Canada,CAN,1998,38061.515
Canada,CAN,1999,39199.013
Canada,CAN,2000,39848.912
Canada,CAN,2001,37380.061
Canada,CAN,2002,38282.993
Canada,CAN,2003,36447.456
Canada,CAN,2004,37398.325
Canada,CAN,2005,38872.544
Canada,CAN,2006,37981.033
Canada,CAN,2007,38344.061
Canada,CAN,2008,38653.806
Canada,CAN,2009,37101.916
Canada,CAN,2010,35481.117
Canada,CAN,2011,37223.297
Canada,CAN,2012,37327.213
Canada,CAN,2013,38195.349
Canada,CAN,2014,37282.354
Canada,CAN,2015,37312.154
Canada,CAN,2016,37356.489
Canada,CAN,2017,37180.992
Canada,CAN,2018,36417.313
Canada,CAN,2019,35591.663
Canada,CAN,2020,35463.792
Chile,CHL,1965,1221.782
Chile,CHL,1966,1264.938
Chile,CHL,1967,1269.259
Chile,CHL,1968,1045.828
Chile,CHL,1969,1161.292
Chile,CHL,1970,1222.911
Chile,CHL,1971,1361.97
Chile,CHL,1972,1591.007
Chile,CHL,1973,1527.724
Chile,CHL,1974,1707.345
Chile,CHL,1975,1688.595
Chile,CHL,1976,1722.93
Chile,CHL,1977,1792.637
Chile,CHL,1978,1839.134
Chile,CHL,1979,1861.417
Chile,CHL,1980,1940.178
Chile,CHL,1981,1981.042
Chile,CHL,1982,2140.828
Chile,CHL,1983,2290.954
Chile,CHL,1984,2340.319
Chile,CHL,1985,2552.915
Chile,CHL,1986,2702.826
Chile,CHL,1987,2876.888
Chile,CHL,1988,2785.842
Chile,CHL,1989,2310.924
Chile,CHL,1990,2072.551
Chile,CHL,1991,2916.388
Chile,CHL,1992,3742.187
Chile,CHL,1993,3778.221
Chile,CHL,1994,3680.767
Chile,CHL,1995,3919.706
Chile,CHL,1996,3544.064
Chile,CHL,1997,3886.155
Chile,CHL,1998,3171.053
Chile,CHL,1999,2752.902
Chile,CHL,2000,3703.622
Chile,CHL,2001,4156.658
Chile,CHL,2002,4366.111
Chile,CHL,2003,4177.734
Chile,CHL,2004,3888.589
Chile,CHL,2005,4549.832
Chile,CHL,2006,4846.454
Chile,CHL,2007,4024.03
Chile,CHL,2008,4406.762
Chile,CHL,2009,4451.101
Chile,CHL,2010,3896.297
Chile,CHL,2011,3783.689
Chile,CHL,2012,3930.754
Chile,CHL,2013,3985.746
Chile,CHL,2014,4290.029
Chile,CHL,2015,4598.28
Chile,CHL,2016,4338.628
Chile,CHL,2017,4912.794
Chile,CHL,2018,5471.353
Chile,CHL,2019,5511.421
Chile,CHL,2020,5709.074
China,CHN,1965,84.754
China,CHN,1966,84.132
China,CHN,1967,70.606
China,CHN,1968,81.024
China,CHN,1969,80.162
China,CHN,1970,80.679
China,CHN,1971,95.156
China,CHN,1972,105.27
China,CHN,1973,115.007
China,CHN,1974,127.428
China,CHN,1975,130.788
China,CHN,1976,130.225
China,CHN,1977,133.784
China,CHN,1978,123.506
China,CHN,1979,136.775
China,CHN,1980,161.711
China,CHN,1981,179.465
China,CHN,1982,201.085
China,CHN,1983,230.276
China,CHN,1984,227.895
China,CHN,1985,238.597
China,CHN,1986,239.847
China,CHN,1987,248.944
China,CHN,1988,266.536
China,CHN,1989,283.949
China,CHN,1990,299.312
China,CHN,1991,290.525
China,CHN,1992,301.401
China,CHN,1993,350.484
China,CHN,1994,413.349
China,CHN,1995,463.478
China,CHN,1996,452.617
China,CHN,1997,469.559
China,CHN,1998,471.355
China,CHN,1999,465.031
China,CHN,2000,521.517
China,CHN,2001,633.48
China,CHN,2002,665.162
China,CHN,2003,688.371
China,CHN,2004,839.018
China,CHN,2005,930.896
China,CHN,2006,1010.669
China,CHN,2007,1120.398
China,CHN,2008,1442.701
China,CHN,2009,1430.058
China,CHN,2010,1654.673
China,CHN,2011,1671.767
China,CHN,2012,2061.384
China,CHN,2013,2238.634
China,CHN,2014,2612.917
China,CHN,2015,2833.516
China,CHN,2016,3106.85
China,CHN,2017,3387.48
China,CHN,2018,3732.091
China,CHN,2019,4107.848
China,CHN,2020,4397.403
Colombia,COL,1965,525.724
Colombia,COL,1966,567.266
Colombia,COL,1967,614.613
Colombia,COL,1968,666.194
Colombia,COL,1969,721.286
Colombia,COL,1970,782.734
Colombia,COL,1971,810.89
Colombia,COL,1972,877.757
Colombia,COL,1973,934.192
Colombia,COL,1974,1037.557
Colombia,COL,1975,1145.174
Colombia,COL,1976,1177.167
Colombia,COL,1977,1174.914
Colombia,COL,1978,1325.269
Colombia,COL,1979,1422.545
Colombia,COL,1980,1515.258
Colombia,COL,1981,1462.539
Colombia,COL,1982,1529.117
Colombia,COL,1983,1509.106
Colombia,COL,1984,1647.394
Colombia,COL,1985,1735.025
Colombia,COL,1986,1962.456
Colombia,COL,1987,2093.931
Colombia,COL,1988,2164.209
Colombia,COL,1989,2315.519
Colombia,COL,1990,2330.289
Colombia,COL,1991,2303.555
Colombia,COL,1992,1825.401
Colombia,COL,1993,2235.869
Colombia,COL,1994,2524.806
Colombia,COL,1995,2476.138
Colombia,COL,1996,2680.926
Colombia,COL,1997,2353.273
Colombia,COL,1998,2267.277
Colombia,COL,1999,2432.917
Colombia,COL,2000,2194.859
Colombia,COL,2001,2202.759
Colombia,COL,2002,2311.84
Colombia,COL,2003,2408.731
Colombia,COL,2004,2499.913
Colombia,COL,2005,2513.191
Colombia,COL,2006,2702.538
Colombia,COL,2007,2759.917
Colombia,COL,2008,2845.347
Colombia,COL,2009,2547.298
Colombia,COL,2010,2542.565
Colombia,COL,2011,2985.368
Colombia,COL,2012,2907.72
Colombia,COL,2013,2682.849
Colombia,COL,2014,2688.564
Colombia,COL,2015,2653.748
Colombia,COL,2016,2715.893
Colombia,COL,2017,3205.705
Colombia,COL,2018,3137.245
Colombia,COL,2019,2984.844
Colombia,COL,2020,2430.899
Croatia,HRV,1990,2212.863
Croatia,HRV,1991,3431.957
Croatia,HRV,1992,2556.006
Croatia,HRV,1993,2701.773
Croatia,HRV,1994,3244.858
Croatia,HRV,1995,3422.314
Croatia,HRV,1996,4780.327
Croatia,HRV,1997,3588.36
Croatia,HRV,1998,3727.077
Croatia,HRV,1999,4568.293
Croatia,HRV,2000,4048.665
Croatia,HRV,2001,4495.776
Croatia,HRV,2002,3649.636
Croatia,HRV,2003,3387.986
Croatia,HRV,2004,4713.317
Croatia,HRV,2005,4337.649
Croatia,HRV,2006,4064.983
Croatia,HRV,2007,2887.369
Croatia,HRV,2008,3543.009
Croatia,HRV,2009,4525.068
Croatia,HRV,2010,5601.294
Croatia,HRV,2011,3177.833
Croatia,HRV,2012,3155.039
Croatia,HRV,2013,5552.786
Croatia,HRV,2014,5942.589
Croatia,HRV,2015,4488.328
Croatia,HRV,2016,4997.788
Croatia,HRV,2017,4252.908
Croatia,HRV,2018,5848.866
Croatia,HRV,2019,5004.118
Croatia,HRV,2020,5139.498
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
